"","Club","Year","Time","Round","Day","Venue","Result","GF","GA","Opponent","predicted_probability"
"1311","CF Montréal",2022,19:30:00,"Regular Season","Sun","Away","W","4","3","Toronto FC",0.539
"1312","CF Montréal",2022,19:30:00,"Regular Season","Fri","Home","D","2","2","Columbus Crew",0.0456666666666667
"1313","CF Montréal",2022,19:30:00,"Regular Season","Tue","Home","W","3","2","Chicago Fire",0.503666666666667
"1314","CF Montréal",2022,19:30:00,"Regular Season","Sat","Away","W","1","0","New England",0.561666666666667
"1315","CF Montréal",2022,19:30:00,"Regular Season","Sat","Home","W","1","0","D.C. United",0.8
"1316","CF Montréal",2022,14:30:00,"Regular Season","Sun","Away","W","3","1","Inter Miami",0.951
"1317","Toronto FC",2022,16:30:00,"Regular Season","Sat","Away","D","1","1","FC Dallas",-0.196
"1318","Toronto FC",2022,14:00:00,"Regular Season","Sat","Home","L","1","4","NY Red Bulls",-0.898333333333333
"1319","Toronto FC",2022,13:30:00,"Regular Season","Sat","Away","L","1","2","Columbus Crew",-0.648
"1320","Toronto FC",2022,15:00:00,"Regular Season","Sat","Home","W","2","1","D.C. United",0.956
"1321","Toronto FC",2022,16:00:00,"Regular Season","Sat","Home","W","2","1","NYCFC",0.6
"1322","Toronto FC",2022,18:00:00,"Regular Season","Sat","Away","D","2","2","Real Salt Lake",-0.022
"1323","Toronto FC",2022,19:30:00,"Regular Season","Sat","Home","W","2","1","Philadelphia",0.482333333333333
"1324","Toronto FC",2022,17:00:00,"Regular Season","Sun","Away","L","4","5","NYCFC",-0.697
"1325","Toronto FC",2022,15:00:00,"Regular Season","Sat","Home","L","1","2","FC Cincinnati",-0.656333333333333
"1326","Toronto FC",2022,19:30:00,"Regular Season","Wed","Away","L","0","2","FC Cincinnati",-0.908
"1327","Toronto FC",2022,13:00:00,"Regular Season","Sun","Away","L","0","1","Vancouver",-0.606
"1328","Toronto FC",2022,15:00:00,"Regular Season","Sat","Home","L","0","1","Orlando City",-0.665
"1329","Toronto FC",2022,18:30:00,"Regular Season","Sat","Away","D","2","2","D.C. United",-0.0116666666666667
"1330","Toronto FC",2022,19:00:00,"Regular Season","Sat","Home","W","3","2","Chicago Fire",0.7
"1331","Toronto FC",2022,19:00:00,"Regular Season","Sat","Away","L","0","2","NY Red Bulls",-0.62
"1332","Toronto FC",2022,19:30:00,"Regular Season","Sat","Home","W","2","1","Atlanta Utd",0.98
"1333","Toronto FC",2022,19:30:00,"Regular Season","Wed","Home","L","1","2","Columbus Crew",-0.586666666666667
"1334","Toronto FC",2022,19:30:00,"Regular Season","Sat","Home","L","0","2","Seattle",-0.925
"1335","Toronto FC",2022,19:30:00,"Regular Season","Sat","Home","D","2","2","San Jose",0.109
"1336","Toronto FC",2022,19:00:00,"Regular Season","Wed","Away","L","0","2","Chicago Fire",-0.96
"1337","Toronto FC",2022,19:30:00,"Regular Season","Sat","Away","L","0","1","CF Montréal",-0.653333333333333
"1338","Toronto FC",2022,19:30:00,"Regular Season","Sat","Home","W","4","0","Charlotte",0.846666666666667
"1339","Toronto FC",2022,20:00:00,"Regular Season","Sat","Away","D","0","0","New England",0.221
"1340","Toronto FC",2022,19:00:00,"Regular Season","Sat","Away","W","4","3","Nashville",0.711666666666667
"1341","Toronto FC",2022,19:30:00,"Regular Season","Sat","Home","W","3","1","Portland Timbers",0.838333333333333
"1342","Toronto FC",2022,19:30:00,"Regular Season","Wed","Home","D","2","2","New England",-0.221333333333333
"1343","Toronto FC",2022,20:00:00,"Regular Season","Sat","Away","L","1","2","Inter Miami",-0.773333333333333
"1344","Toronto FC",2022,19:00:00,"Regular Season","Sat","Away","W","2","0","Charlotte",0.470666666666667
"1345","Toronto FC",2022,19:30:00,"Regular Season","Wed","Home","D","2","2","LA Galaxy",0.138
"1346","Toronto FC",2022,19:30:00,"Regular Season","Sun","Home","L","3","4","CF Montréal",-0.714
"1347","Toronto FC",2022,19:30:00,"Regular Season","Sat","Away","L","2","4","Atlanta Utd",-0.541666666666667
"1348","Toronto FC",2022,19:30:00,"Regular Season","Sat","Away","L","0","4","Orlando City",-0.856
"1349","Toronto FC",2022,19:30:00,"Regular Season","Fri","Home","L","0","1","Inter Miami",-0.335666666666667
"1350","Chicago Fire",2022,18:00:00,"Regular Season","Sat","Away","D","0","0","Inter Miami",-0.128
"1351","Chicago Fire",2022,19:30:00,"Regular Season","Sat","Away","W","2","0","D.C. United",0.856666666666667
"1352","Chicago Fire",2022,17:00:00,"Regular Season","Sat","Home","W","3","1","Sporting KC",0.82
"1353","Chicago Fire",2022,14:30:00,"Regular Season","Sat","Home","D","0","0","FC Dallas",-0.014
"1354","Chicago Fire",2022,13:00:00,"Regular Season","Sat","Away","L","0","1","Orlando City",-0.859333333333333
"1355","Chicago Fire",2022,16:00:00,"Regular Season","Sat","Away","L","0","3","Minnesota Utd",-0.596333333333333
"1356","Chicago Fire",2022,19:00:00,"Regular Season","Sat","Home","L","1","2","NY Red Bulls",-0.579333333333333
"1357","Chicago Fire",2022,18:00:00,"Regular Season","Sat","Away","L","1","4","Atlanta Utd",-0.84
"1358","Chicago Fire",2022,19:00:00,"Regular Season","Sat","Home","L","1","2","FC Cincinnati",-0.826666666666667
"1359","Chicago Fire",2022,19:30:00,"Regular Season","Wed","Away","D","3","3","NY Red Bulls",-0.135
"1360","Chicago Fire",2022,17:00:00,"Regular Season","Sun","Away","L","0","1","NYCFC",-0.742333333333333
"1361","Chicago Fire",2022,19:00:00,"Regular Season","Sat","Away","L","2","3","Toronto FC",-0.437
"1362","Chicago Fire",2022,19:00:00,"Regular Season","Sat","Away","L","0","2","Dynamo FC",-0.500333333333333
"1363","Chicago Fire",2022,19:00:00,"Regular Season","Wed","Home","W","1","0","Philadelphia",0.510333333333333
"1364","Chicago Fire",2022,18:00:00,"Regular Season","Sun","Away","L","1","2","San Jose",-0.590666666666667
"1365","Chicago Fire",2022,19:00:00,"Regular Season","Sat","Home","L","2","3","Columbus Crew",-0.53
"1366","Chicago Fire",2022,19:00:00,"Regular Season","Wed","Home","W","2","0","Toronto FC",0.862
"1367","Chicago Fire",2022,19:00:00,"Regular Season","Sat","Home","W","1","0","Seattle",0.796666666666667
"1368","Chicago Fire",2022,19:00:00,"Regular Season","Sat","Away","W","3","1","Vancouver",0.359
"1369","Chicago Fire",2022,16:00:00,"Regular Season","Sat","Home","D","0","0","Atlanta Utd",-0.216
"1370","Chicago Fire",2022,19:00:00,"Regular Season","Sat","Away","W","3","2","Charlotte",0.985
"1371","Chicago Fire",2022,19:30:00,"Regular Season","Sat","Away","L","1","4","Philadelphia",-0.94
"1372","Chicago Fire",2022,19:00:00,"Regular Season","Sat","Home","L","0","2","CF Montréal",-0.719
"1373","Chicago Fire",2022,19:30:00,"Regular Season","Wed","Away","D","0","0","New England",0.19
"1374","Chicago Fire",2022,17:30:00,"Regular Season","Sat","Away","D","0","0","Columbus Crew",-0.00266666666666666
"1375","Chicago Fire",2022,19:00:00,"Regular Season","Sat","Home","W","3","1","Inter Miami",0.853333333333333
"1376","Chicago Fire",2022,19:30:00,"Regular Season","Tue","Away","L","2","3","CF Montréal",-0.556
"1377","Chicago Fire",2022,19:00:00,"Regular Season","Sat","Home","L","2","3","Charlotte",-0.623333333333333
"1378","Chicago Fire",2022,19:30:00,"Regular Season","Sat","Away","W","3","2","FC Cincinnati",0.8
"1379","Chicago Fire",2022,13:30:00,"Regular Season","Sun","Home","D","1","1","New England",-0.122333333333333
"1380","Inter Miami",2022,18:00:00,"Regular Season","Sat","Home","D","0","0","Chicago Fire",0.129333333333333
"1381","Inter Miami",2022,15:00:00,"Regular Season","Sun","Away","L","1","5","Austin",-0.885
"1382","Inter Miami",2022,13:30:00,"Regular Season","Sat","Home","L","0","2","Los Angeles FC",-0.449666666666667
"1383","Inter Miami",2022,13:00:00,"Regular Season","Sat","Away","L","1","3","FC Cincinnati",-0.76
"1384","Inter Miami",2022,20:00:00,"Regular Season","Sat","Home","L","1","3","Dynamo FC",-0.825
"1385","Inter Miami",2022,15:00:00,"Regular Season","Sat","Home","W","3","2","New England",0.96
"1386","Inter Miami",2022,19:00:00,"Regular Season","Sat","Away","W","1","0","Seattle",0.86
"1387","Inter Miami",2022,13:00:00,"Regular Season","Sun","Home","W","2","1","Atlanta Utd",0.807666666666667
"1388","Inter Miami",2022,19:30:00,"Regular Season","Sat","Away","L","0","2","New England",-0.698333333333333
"1389","Inter Miami",2022,15:30:00,"Regular Season","Sat","Away","L","0","1","Charlotte",-0.742
"1390","Inter Miami",2022,20:00:00,"Regular Season","Sat","Home","D","2","2","D.C. United",-0.156
"1391","Inter Miami",2022,19:30:00,"Regular Season","Wed","Away","D","0","0","Philadelphia",-0.066
"1392","Inter Miami",2022,18:00:00,"Regular Season","Sun","Home","W","2","0","NY Red Bulls",0.93
"1393","Inter Miami",2022,20:00:00,"Regular Season","Sat","Home","W","2","1","Portland Timbers",0.932
"1394","Inter Miami",2022,15:00:00,"Regular Season","Sun","Away","L","0","2","Atlanta Utd",-0.875333333333333
"1395","Inter Miami",2022,20:00:00,"Regular Season","Sat","Home","W","2","1","Minnesota Utd",0.722666666666667
"1396","Inter Miami",2022,20:00:00,"Regular Season","Mon","Away","D","1","1","FC Dallas",0.316
"1397","Inter Miami",2022,22:00:00,"Regular Season","Sat","Away","L","0","1","Orlando City",-0.633333333333333
"1398","Inter Miami",2022,20:00:00,"Regular Season","Wed","Home","L","1","2","Philadelphia",-0.876333333333333
"1399","Inter Miami",2022,20:30:00,"Regular Season","Sat","Home","W","3","2","Charlotte",0.748
"1400","Inter Miami",2022,19:00:00,"Regular Season","Sat","Away","L","0","2","NYCFC",-0.753333333333333
"1401","Inter Miami",2022,20:00:00,"Regular Season","Sat","Home","D","4","4","FC Cincinnati",0.187666666666667
"1402","Inter Miami",2022,19:30:00,"Regular Season","Wed","Away","W","1","0","San Jose",0.82
"1403","Inter Miami",2022,19:30:00,"Regular Season","Sat","Away","D","2","2","CF Montréal",-0.0933333333333333
"1404","Inter Miami",2022,20:00:00,"Regular Season","Sat","Home","W","3","2","NYCFC",0.636666666666667
"1405","Inter Miami",2022,20:00:00,"Regular Season","Sat","Home","W","2","1","Toronto FC",0.832
"1406","Inter Miami",2022,19:00:00,"Regular Season","Sat","Away","L","1","3","NY Red Bulls",-0.535
"1407","Inter Miami",2022,19:30:00,"Regular Season","Wed","Away","L","0","1","Columbus Crew",-0.588666666666667
"1408","Inter Miami",2022,19:00:00,"Regular Season","Sat","Away","L","1","3","Chicago Fire",-0.915
"1409","Inter Miami",2022,20:00:00,"Regular Season","Tue","Home","W","2","1","Columbus Crew",0.901
"1410","Inter Miami",2022,17:00:00,"Regular Season","Sun","Away","W","3","2","D.C. United",0.732333333333333
"1411","Inter Miami",2022,19:30:00,"Regular Season","Fri","Away","W","1","0","Toronto FC",0.456666666666667
"1412","Inter Miami",2022,20:00:00,"Regular Season","Wed","Home","W","4","1","Orlando City",0.851333333333333
"1413","Inter Miami",2022,14:30:00,"Regular Season","Sun","Home","L","1","3","CF Montréal",-0.78
"1414","FC Dallas",2022,16:30:00,"Regular Season","Sat","Home","D","1","1","Toronto FC",0.349333333333333
"1415","FC Dallas",2022,13:30:00,"Regular Season","Sat","Away","L","0","1","New England",-0.797
"1416","FC Dallas",2022,19:30:00,"Regular Season","Sat","Home","W","4","1","Portland Timbers",0.98
"1417","FC Dallas",2022,14:30:00,"Regular Season","Sat","Away","D","0","0","Chicago Fire",0.01
"1418","FC Dallas",2022,19:30:00,"Regular Season","Sat","Home","W","3","1","Colorado Rapids",0.731666666666667
"1419","FC Dallas",2022,19:00:00,"Regular Season","Sat","Away","D","0","0","NY Red Bulls",0.0743333333333333
"1420","FC Dallas",2022,14:00:00,"Regular Season","Sat","Home","W","2","1","Dynamo FC",0.783333333333333
"1421","FC Dallas",2022,19:30:00,"Regular Season","Sat","Away","D","2","2","Sporting KC",-0.0856666666666667
"1422","FC Dallas",2022,19:30:00,"Regular Season","Sat","Away","W","3","1","LA Galaxy",0.88
"1423","FC Dallas",2022,19:00:00,"Regular Season","Wed","Away","L","1","2","Vancouver",-0.681
"1424","FC Dallas",2022,18:00:00,"Regular Season","Sun","Home","L","1","2","Minnesota Utd",-0.796
"1425","FC Dallas",2022,19:30:00,"Regular Season","Sat","Away","W","3","1","Orlando City",0.786666666666667
"1426","FC Dallas",2022,20:00:00,"Regular Season","Sat","Home","L","0","2","Vancouver",-0.764
"1427","FC Dallas",2022,20:00:00,"Regular Season","Sat","Away","D","2","2","Austin",0.365666666666667
"1428","FC Dallas",2022,19:30:00,"Regular Season","Wed","Away","L","1","3","Los Angeles FC",-0.846
"1429","FC Dallas",2022,20:00:00,"Regular Season","Mon","Home","D","1","1","Inter Miami",-0.409
"1430","FC Dallas",2022,19:30:00,"Regular Season","Sat","Away","D","2","2","Dynamo FC",0.150666666666667
"1431","FC Dallas",2022,20:00:00,"Regular Season","Wed","Home","L","0","1","NYCFC",-0.781666666666667
"1432","FC Dallas",2022,20:00:00,"Regular Season","Sat","Home","D","1","1","Austin",0.448666666666667
"1433","FC Dallas",2022,20:00:00,"Regular Season","Sat","Away","W","1","0","Real Salt Lake",0.725
"1434","FC Dallas",2022,20:00:00,"Regular Season","Sat","Home","W","1","0","LA Galaxy",0.824
"1435","FC Dallas",2022,19:00:00,"Regular Season","Tue","Away","L","0","1","Seattle",-0.690666666666667
"1436","FC Dallas",2022,19:30:00,"Regular Season","Sat","Away","D","1","1","Portland Timbers",-0.027
"1437","FC Dallas",2022,20:00:00,"Regular Season","Sat","Home","W","4","1","San Jose",0.96
"1438","FC Dallas",2022,20:00:00,"Regular Season","Wed","Home","W","1","0","Philadelphia",0.821666666666667
"1439","FC Dallas",2022,20:00:00,"Regular Season","Sat","Home","D","1","1","Real Salt Lake",0.025
"1440","FC Dallas",2022,14:30:00,"Regular Season","Sat","Away","W","3","0","Minnesota Utd",0.748333333333333
"1441","FC Dallas",2022,19:30:00,"Regular Season","Sat","Home","W","2","1","Los Angeles FC",0.495
"1442","FC Dallas",2022,19:30:00,"Regular Season","Sat","Away","D","1","1","San Jose",-0.017
"1443","FC Dallas",2022,15:30:00,"Regular Season","Sat","Away","L","0","1","Colorado Rapids",-0.835
"1444","FC Dallas",2022,16:00:00,"Regular Season","Sun","Home","W","2","1","Sporting KC",0.835
"1445","Dynamo FC",2022,18:00:00,"Regular Season","Sun","Home","D","0","0","Real Salt Lake",0.0853333333333333
"1446","Dynamo FC",2022,14:30:00,"Regular Season","Sat","Away","L","0","1","Sporting KC",-0.682
"1447","Dynamo FC",2022,17:30:00,"Regular Season","Sat","Home","W","2","1","Vancouver",0.716
"1448","Dynamo FC",2022,19:30:00,"Regular Season","Sat","Home","D","1","1","Colorado Rapids",-0.151666666666667
"1449","Dynamo FC",2022,20:00:00,"Regular Season","Sat","Away","W","3","1","Inter Miami",0.793333333333333
"1450","Dynamo FC",2022,19:30:00,"Regular Season","Sat","Home","W","4","3","San Jose",0.761
"1451","Dynamo FC",2022,17:00:00,"Regular Season","Sat","Home","D","0","0","Portland Timbers",0.139333333333333
"1452","Dynamo FC",2022,14:00:00,"Regular Season","Sat","Away","L","1","2","FC Dallas",-0.893333333333333
"1453","Dynamo FC",2022,12:30:00,"Regular Season","Sat","Home","L","1","2","Austin",-0.298333333333333
"1454","Dynamo FC",2022,19:30:00,"Regular Season","Sat","Away","L","0","2","D.C. United",-0.495
"1455","Dynamo FC",2022,19:30:00,"Regular Season","Sat","Home","W","2","0","Nashville",0.966
"1456","Dynamo FC",2022,19:30:00,"Regular Season","Wed","Home","L","0","1","Seattle",-0.715666666666667
"1457","Dynamo FC",2022,17:00:00,"Regular Season","Sun","Away","W","3","0","LA Galaxy",0.73
"1458","Dynamo FC",2022,19:30:00,"Regular Season","Sat","Away","L","0","3","Real Salt Lake",-0.92
"1459","Dynamo FC",2022,19:30:00,"Regular Season","Sat","Away","L","1","2","Orlando City",-0.953333333333333
"1460","Dynamo FC",2022,19:00:00,"Regular Season","Sat","Home","W","2","0","Chicago Fire",0.556
"1461","Dynamo FC",2022,19:30:00,"Regular Season","Wed","Away","L","1","2","Portland Timbers",-0.766
"1462","Dynamo FC",2022,19:30:00,"Regular Season","Sun","Home","L","1","2","Charlotte",-0.78
"1463","Dynamo FC",2022,19:30:00,"Regular Season","Sat","Home","D","2","2","FC Dallas",-0.0513333333333333
"1464","Dynamo FC",2022,20:00:00,"Regular Season","Tue","Away","L","1","3","Austin",-0.809
"1465","Dynamo FC",2022,18:30:00,"Regular Season","Sun","Away","W","2","1","San Jose",0.678666666666667
"1466","Dynamo FC",2022,19:30:00,"Regular Season","Sat","Home","L","1","2","Minnesota Utd",-0.690666666666667
"1467","Dynamo FC",2022,19:30:00,"Regular Season","Sat","Away","L","0","6","Philadelphia",-0.961333333333333
"1468","Dynamo FC",2022,19:30:00,"Regular Season","Fri","Away","L","1","2","Vancouver",-0.325666666666667
"1469","Dynamo FC",2022,20:00:00,"Regular Season","Sat","Home","L","2","3","CF Montréal",-0.858666666666667
"1470","Dynamo FC",2022,19:00:00,"Regular Season","Sat","Away","D","1","1","Colorado Rapids",-0.179666666666667
"1471","Dynamo FC",2022,14:30:00,"Regular Season","Sat","Away","L","1","2","Minnesota Utd",-0.640666666666667
"1472","Dynamo FC",2022,19:30:00,"Regular Season","Wed","Home","W","2","1","Los Angeles FC",0.572
"1473","Dynamo FC",2022,18:00:00,"Regular Season","Sun","Away","L","1","2","Seattle",-0.675
"1474","Dynamo FC",2022,19:30:00,"Regular Season","Sat","Home","D","0","0","Sporting KC",-0.006
"1475","Dynamo FC",2022,19:30:00,"Regular Season","Tue","Home","W","3","1","New England",0.754333333333333
"1476","Dynamo FC",2022,19:30:00,"Regular Season","Sun","Away","L","1","3","Los Angeles FC",-0.925
"1477","Dynamo FC",2022,19:30:00,"Regular Season","Sun","Away","W","2","1","Nashville",0.725666666666667
"1478","Dynamo FC",2022,16:00:00,"Regular Season","Sun","Home","L","1","3","LA Galaxy",-0.834333333333333
"1479","Minnesota Utd",2022,13:00:00,"Regular Season","Sat","Away","D","1","1","Philadelphia",0.122
"1480","Minnesota Utd",2022,17:00:00,"Regular Season","Sat","Home","D","1","1","Nashville",-0.002
"1481","Minnesota Utd",2022,19:00:00,"Regular Season","Sun","Away","W","1","0","NY Red Bulls",0.602333333333333
"1482","Minnesota Utd",2022,19:00:00,"Regular Season","Sat","Home","L","1","2","Seattle",-0.376333333333333
"1483","Minnesota Utd",2022,18:30:00,"Regular Season","Sun","Away","L","0","1","Austin",-0.684333333333333
"1484","Minnesota Utd",2022,19:00:00,"Regular Season","Sat","Home","W","3","1","Colorado Rapids",0.629333333333333
"1485","Minnesota Utd",2022,16:00:00,"Regular Season","Sat","Home","W","3","0","Chicago Fire",0.653333333333333
"1486","Minnesota Utd",2022,19:00:00,"Regular Season","Sun","Away","L","0","2","Los Angeles FC",-0.777
"1487","Minnesota Utd",2022,19:00:00,"Regular Season","Sat","Home","L","0","1","FC Cincinnati",-0.8
"1488","Minnesota Utd",2022,13:00:00,"Regular Season","Sun","Away","L","1","3","Seattle",-0.675
"1489","Minnesota Utd",2022,19:00:00,"Regular Season","Wed","Home","D","1","1","LA Galaxy",0.251333333333333
"1490","Minnesota Utd",2022,18:00:00,"Regular Season","Sun","Away","W","2","1","FC Dallas",0.877
"1491","Minnesota Utd",2022,19:00:00,"Regular Season","Sat","Home","L","0","1","NYCFC",-0.066
"1492","Minnesota Utd",2022,17:00:00,"Regular Season","Sun","Away","L","1","2","New England",-0.620333333333333
"1493","Minnesota Utd",2022,20:00:00,"Regular Season","Sat","Away","L","1","2","Inter Miami",-0.835
"1494","Minnesota Utd",2022,19:30:00,"Regular Season","Wed","Away","W","3","2","LA Galaxy",0.7
"1495","Minnesota Utd",2022,19:00:00,"Regular Season","Sun","Home","W","3","2","Real Salt Lake",0.96
"1496","Minnesota Utd",2022,19:30:00,"Regular Season","Fri","Away","W","3","1","Vancouver",0.716666666666667
"1497","Minnesota Utd",2022,19:00:00,"Regular Season","Wed","Home","D","1","1","Sporting KC",-0.0406666666666666
"1498","Minnesota Utd",2022,19:30:00,"Regular Season","Sat","Away","W","2","1","Dynamo FC",0.813333333333333
"1499","Minnesota Utd",2022,14:00:00,"Regular Season","Sat","Home","D","4","4","Portland Timbers",0.313333333333333
"1500","Minnesota Utd",2022,19:00:00,"Regular Season","Sat","Away","L","3","4","Colorado Rapids",-0.555
"1501","Minnesota Utd",2022,20:00:00,"Regular Season","Sun","Away","W","2","1","Nashville",0.661
"1502","Minnesota Utd",2022,19:00:00,"Regular Season","Sat","Home","W","2","1","Austin",0.945
"1503","Minnesota Utd",2022,14:30:00,"Regular Season","Sat","Home","W","2","1","Dynamo FC",0.440666666666667
"1504","Minnesota Utd",2022,14:30:00,"Regular Season","Sat","Home","L","0","3","FC Dallas",-0.528333333333333
"1505","Minnesota Utd",2022,19:00:00,"Regular Season","Sat","Away","L","0","1","Portland Timbers",-0.408666666666667
"1506","Minnesota Utd",2022,19:00:00,"Regular Season","Tue","Home","D","1","1","Los Angeles FC",0.146333333333333
"1507","Minnesota Utd",2022,19:30:00,"Regular Season","Sat","Away","L","1","4","Sporting KC",-0.747333333333334
"1508","Minnesota Utd",2022,19:00:00,"Regular Season","Sat","Away","L","0","2","San Jose",-0.84
"1509","Minnesota Utd",2022,16:00:00,"Regular Season","Sun","Home","W","2","0","Vancouver",0.708333333333333
"1510","Sporting KC",2022,15:00:00,"Regular Season","Sun","Away","L","1","3","Atlanta Utd",-0.944666666666667
"1511","Sporting KC",2022,14:30:00,"Regular Season","Sat","Home","W","1","0","Dynamo FC",0.72
"1512","Sporting KC",2022,19:00:00,"Regular Season","Sat","Away","L","0","2","Colorado Rapids",-0.855
"1513","Sporting KC",2022,17:00:00,"Regular Season","Sat","Away","L","1","3","Chicago Fire",-0.86
"1514","Sporting KC",2022,18:00:00,"Regular Season","Sat","Home","W","1","0","Real Salt Lake",0.796
"1515","Sporting KC",2022,17:00:00,"Regular Season","Sat","Away","L","0","1","Vancouver",-0.675
"1516","Sporting KC",2022,19:30:00,"Regular Season","Sat","Home","L","1","2","Nashville",-0.849333333333333
"1517","Sporting KC",2022,13:00:00,"Regular Season","Sun","Away","L","1","3","Los Angeles FC",-0.749333333333333
"1518","Sporting KC",2022,19:30:00,"Regular Season","Sat","Home","D","0","0","Columbus Crew",-0.00700000000000001
"1519","Sporting KC",2022,19:30:00,"Regular Season","Sat","Home","D","2","2","FC Dallas",0.07
"1520","Sporting KC",2022,19:00:00,"Regular Season","Sat","Away","D","0","0","NYCFC",0.0213333333333333
"1521","Sporting KC",2022,19:00:00,"Regular Season","Sat","Away","L","2","7","Portland Timbers",-0.88
"1522","Sporting KC",2022,19:30:00,"Regular Season","Wed","Home","W","2","1","Colorado Rapids",0.556666666666667
"1523","Sporting KC",2022,16:30:00,"Regular Season","Sun","Away","D","1","1","San Jose",0.0886666666666667
"1524","Sporting KC",2022,14:00:00,"Regular Season","Sun","Home","L","1","2","New England",-0.643333333333333
"1525","Sporting KC",2022,17:00:00,"Regular Season","Sun","Away","W","2","1","Nashville",0.788
"1526","Sporting KC",2022,12:00:00,"Regular Season","Sat","Away","L","0","3","Seattle",-1
"1527","Sporting KC",2022,19:00:00,"Regular Season","Sun","Home","L","0","1","NY Red Bulls",-0.784333333333333
"1528","Sporting KC",2022,19:30:00,"Regular Season","Sat","Away","W","2","1","CF Montréal",0.640666666666667
"1529","Sporting KC",2022,19:00:00,"Regular Season","Wed","Away","D","1","1","Minnesota Utd",0.151666666666667
"1530","Sporting KC",2022,19:30:00,"Regular Season","Sun","Away","L","0","3","Real Salt Lake",-0.78
"1531","Sporting KC",2022,19:30:00,"Regular Season","Sat","Home","L","0","2","Los Angeles FC",-0.682
"1532","Sporting KC",2022,19:30:00,"Regular Season","Sat","Home","L","0","2","Austin",-0.405
"1533","Sporting KC",2022,19:30:00,"Regular Season","Sat","Home","W","4","2","LA Galaxy",0.816
"1534","Sporting KC",2022,20:00:00,"Regular Season","Sat","Away","L","3","4","Austin",-0.299
"1535","Sporting KC",2022,18:30:00,"Regular Season","Sun","Home","W","4","1","Portland Timbers",0.739
"1536","Sporting KC",2022,19:30:00,"Regular Season","Sat","Home","W","1","0","San Jose",0.77
"1537","Sporting KC",2022,17:00:00,"Regular Season","Sun","Away","D","2","2","LA Galaxy",-0.0866666666666667
"1538","Sporting KC",2022,19:30:00,"Regular Season","Sat","Away","D","0","0","Dynamo FC",-0.077
"1539","Sporting KC",2022,19:30:00,"Regular Season","Tue","Home","W","3","0","D.C. United",0.688
"1540","Sporting KC",2022,19:30:00,"Regular Season","Sat","Home","W","4","1","Minnesota Utd",0.692666666666667
"1541","Sporting KC",2022,16:00:00,"Regular Season","Sun","Home","W","1","0","Seattle",0.855
"1542","Sporting KC",2022,16:00:00,"Regular Season","Sun","Away","L","1","2","FC Dallas",-0.844
"1543","Colorado Rapids",2022,12:30:00,"Regular Season","Sat","Away","L","0","3","Los Angeles FC",-0.906
"1544","Colorado Rapids",2022,16:00:00,"Regular Season","Sat","Home","W","3","0","Atlanta Utd",0.901
"1545","Colorado Rapids",2022,19:00:00,"Regular Season","Sat","Home","W","2","0","Sporting KC",0.935
"1546","Colorado Rapids",2022,19:30:00,"Regular Season","Sat","Away","D","1","1","Dynamo FC",0.171666666666667
"1547","Colorado Rapids",2022,19:00:00,"Regular Season","Sat","Home","D","1","1","Real Salt Lake",0.116333333333333
"1548","Colorado Rapids",2022,19:30:00,"Regular Season","Sat","Away","L","1","3","FC Dallas",-0.692
"1549","Colorado Rapids",2022,19:00:00,"Regular Season","Sat","Away","L","1","3","Minnesota Utd",-0.815
"1550","Colorado Rapids",2022,19:00:00,"Regular Season","Sat","Home","W","2","0","Portland Timbers",0.862666666666667
"1551","Colorado Rapids",2022,19:00:00,"Regular Season","Sat","Away","L","0","1","San Jose",-0.499
"1552","Colorado Rapids",2022,15:30:00,"Regular Season","Sat","Home","W","2","0","Los Angeles FC",0.868
"1553","Colorado Rapids",2022,19:30:00,"Regular Season","Wed","Away","L","1","2","Sporting KC",-0.567
"1554","Colorado Rapids",2022,18:00:00,"Regular Season","Sun","Home","W","1","0","Seattle",0.816666666666667
"1555","Colorado Rapids",2022,19:00:00,"Regular Season","Sat","Home","L","1","3","Nashville",-0.755666666666667
"1556","Colorado Rapids",2022,17:00:00,"Regular Season","Sun","Away","D","1","1","NYCFC",-0.136
"1557","Colorado Rapids",2022,19:30:00,"Regular Season","Sat","Away","L","0","3","Portland Timbers",-0.9
"1558","Colorado Rapids",2022,19:00:00,"Regular Season","Mon","Home","L","2","3","Austin",-0.521333333333333
"1559","Colorado Rapids",2022,20:00:00,"Regular Season","Sat","Away","D","2","2","Real Salt Lake",0.122333333333333
"1560","Colorado Rapids",2022,19:00:00,"Regular Season","Wed","Home","D","1","1","Orlando City",0.309
"1561","Colorado Rapids",2022,19:00:00,"Regular Season","Sat","Home","W","2","0","LA Galaxy",0.85
"1562","Colorado Rapids",2022,19:00:00,"Regular Season","Sat","Away","L","1","2","Seattle",-0.795
"1563","Colorado Rapids",2022,19:30:00,"Regular Season","Tue","Away","W","5","4","NY Red Bulls",0.655666666666667
"1564","Colorado Rapids",2022,19:00:00,"Regular Season","Sat","Home","W","4","3","Minnesota Utd",0.653666666666667
"1565","Colorado Rapids",2022,19:00:00,"Regular Season","Sat","Home","D","1","1","Columbus Crew",-0.056
"1566","Colorado Rapids",2022,19:00:00,"Regular Season","Wed","Away","L","1","2","Vancouver",-0.522666666666667
"1567","Colorado Rapids",2022,19:00:00,"Regular Season","Sat","Home","D","1","1","Dynamo FC",0.0686666666666667
